Complaint ID,Product,Issue,State,Date received,Submitted via,Resolution Time Reponse
1078,Debt collection,Complaint: Improper contact or sharing of info,NM,2015-02-02 00:00:00,Web,Instant
1079,Credit card,Complaint: Billing disputes,ID,2016-10-06 00:00:00,Web,Instant
1080,Consumer Loan,Complaint: Problems when you are unable to pay,OH,2013-06-01 00:00:00,Web,Fast
1081,Debt collection,Complaint: Communication tactics,CO,2014-01-17 00:00:00,Pho,Fast
1082,Credit card,Complaint: Rewards,NC,2015-02-11 00:00:00,Web,Instant
1083,Credit reporting,Complaint: Credit reporting company's investigation,CT,2014-09-29 00:00:00,Web,Instant
1084,Mortgage,"Complaint: Loan servicing, payments, escrow account",GA,2015-10-25 00:00:00,Web,Fast
1085,Mortgage,"Complaint: Loan servicing, payments, escrow account",NY,2014-03-04 00:00:00,Web,Instant
1086,Student loan,Complaint: Getting a loan,DE,2015-02-10 00:00:00,Web,Instant
1087,Student loan,Complaint: Dealing with my lender or servicer,TN,2015-01-04 00:00:00,Web,Fast
1088,Student loan,Complaint: Dealing with my lender or servicer,MA,2014-11-18 00:00:00,Web,Instant
1089,Bank account or service,"Complaint: Account opening, closing, or management",CA,2015-12-23 00:00:00,Fax,Instant
1090,Consumer Loan,Complaint: Problems when you are unable to pay,TX,2013-10-25 00:00:00,Web,Instant
1091,Credit card,Complaint: APR or interest rate,TX,2015-07-14 00:00:00,Web,Instant
1092,Debt collection,"Complaint: Loan modification,collection,foreclosure",IL,2015-01-10 00:00:00,Web,Instant
1093,Credit reporting,Complaint: Unable to get credit report/credit score,CA,2014-11-19 00:00:00,Web,Instant
1094,Mortgage,"Complaint: Application, originator, mortgage broker",FL,2013-01-28 00:00:00,Web,Instant
1095,Mortgage,"Complaint: Loan servicing, payments, escrow account",OK,2014-10-22 00:00:00,Web,Instant
1096,Mortgage,"Complaint: Loan servicing, payments, escrow account",MO,2016-11-04 00:00:00,Ema,Fast
1097,Mortgage,"Complaint: Loan servicing, payments, escrow account",MN,2015-02-01 00:00:00,Web,Instant
1098,Bank account or service,"Complaint: Making/receiving payments, sending money",NJ,2015-05-10 00:00:00,Ema,Fast
1099,Debt collection,Complaint: Improper contact or sharing of info,OH,2014-09-16 00:00:00,Web,Fast
1100,Mortgage,"Complaint: Loan servicing, payments, escrow account",OH,2014-02-07 00:00:00,Web,Instant
1101,Credit card,Complaint: Closing/Cancelling account,FL,2013-06-18 00:00:00,Web,Instant
1102,Bank account or service,"Complaint: Account opening, closing, or management",IL,2014-08-13 00:00:00,Web,Fast
1103,Bank account or service,Complaint: Deposits and withdrawals,PA,2014-09-10 00:00:00,Web,Fast
1104,Bank account or service,Complaint: Deposits and withdrawals,WA,2015-10-13 00:00:00,Ema,Fast
1105,Student loan,Complaint: Can't repay my loan,OH,2015-10-30 00:00:00,Web,Instant
1106,Bank account or service,Complaint: Problems caused by my funds being low,TN,2013-05-09 00:00:00,Pos,Fast
1107,Bank account or service,"Complaint: Account opening, closing, or management",PA,2013-11-15 00:00:00,Pos,Fast
1108,Consumer Loan,Complaint: Problems when you are unable to pay,PA,2015-07-28 00:00:00,Web,Instant
1109,Student loan,Complaint: Repaying your loan,PA,2013-01-04 00:00:00,Web,Fast
1110,Credit card,Complaint: Billing disputes,OH,2013-01-24 00:00:00,Web,Fast
1111,Debt collection,Complaint: Improper contact or sharing of info,MA,2014-05-30 00:00:00,Web,Instant
1112,Prepaid card,Complaint: Unauthorized transactions/trans. issues,OK,2015-05-14 00:00:00,Web,Fast
1113,Credit card,Complaint: Billing statement,DE,2016-02-29 00:00:00,Web,Instant
1114,Mortgage,"Complaint: Loan servicing, payments, escrow account",CA,2016-04-04 00:00:00,Pho,Fast
1115,Credit card,Complaint: Payoff process,AZ,2015-08-25 00:00:00,Web,Instant
1116,Debt collection,"Complaint: Loan modification,collection,foreclosure",MD,2016-08-31 00:00:00,Web,Instant
1117,Mortgage,"Complaint: Loan servicing, payments, escrow account",GA,2014-02-26 00:00:00,Web,Fast
1118,Mortgage,"Complaint: Loan servicing, payments, escrow account",NC,2013-03-20 00:00:00,Pho,Fast
1119,Student loan,Complaint: Getting a loan,MN,2015-05-26 00:00:00,Web,Instant
1120,Debt collection,Complaint: False statements or representation,VA,2015-12-28 00:00:00,Web,Fast
1121,Debt collection,Complaint: Communication tactics,MI,2013-10-28 00:00:00,Web,Instant
1122,Debt collection,Complaint: False statements or representation,CA,2016-04-23 00:00:00,Web,Instant
1123,Mortgage,"Complaint: Loan servicing, payments, escrow account",GA,2013-01-17 00:00:00,Web,Fast
1124,Consumer Loan,Complaint: Managing the loan or lease,SC,2016-04-21 00:00:00,Web,Fast
1125,Debt collection,Complaint: Improper contact or sharing of info,OH,2015-02-24 00:00:00,Web,Instant
1126,Student loan,Complaint: Dealing with my lender or servicer,NE,2015-07-24 00:00:00,Web,Instant
1127,Student loan,Complaint: Dealing with my lender or servicer,OH,2015-05-19 00:00:00,Web,Instant
1128,Mortgage,"Complaint: Loan servicing, payments, escrow account",VA,2013-10-24 00:00:00,Ema,Fast
1129,Consumer Loan,Complaint: Problems when you are unable to pay,NY,2014-05-03 00:00:00,Web,Instant
1130,Bank account or service,"Complaint: Account opening, closing, or management",FL,2015-06-15 00:00:00,Ema,Fast
1131,Mortgage,"Complaint: Application, originator, mortgage broker",NY,2016-02-03 00:00:00,Web,Instant
1132,Credit reporting,Complaint: Credit reporting company's investigation,AZ,2016-08-16 00:00:00,Web,Instant
1133,Credit card,Complaint: Advertising and marketing,LA,2016-07-19 00:00:00,Web,Instant
1134,Bank account or service,"Complaint: Account opening, closing, or management",NY,2013-02-20 00:00:00,Pho,Fast
1135,Bank account or service,Complaint: Using a debit or ATM card,CA,2015-02-19 00:00:00,Ema,Fast
1136,Mortgage,Complaint: Settlement process and costs,WA,2013-08-24 00:00:00,Web,Fast
1137,Debt collection,Complaint: Taking/threatening an illegal action,TX,2015-10-22 00:00:00,Web,Instant
1138,Debt collection,Complaint: Communication tactics,AR,2013-11-10 00:00:00,Web,Instant
1139,Debt collection,"Complaint: Loan modification,collection,foreclosure",MD,2015-02-26 00:00:00,Pho,Fast
1140,Mortgage,"Complaint: Loan servicing, payments, escrow account",CO,2016-05-16 00:00:00,Web,Instant
1141,Mortgage,"Complaint: Loan servicing, payments, escrow account",FL,2015-04-09 00:00:00,Web,Instant
1142,Bank account or service,"Complaint: Account opening, closing, or management",FL,2016-01-20 00:00:00,Pho,Instant
1143,Mortgage,"Complaint: Loan servicing, payments, escrow account",OR,2016-06-05 00:00:00,Web,Instant
1144,Debt collection,Complaint: Communication tactics,TN,2014-08-14 00:00:00,Web,Instant
1145,Consumer Loan,Complaint: Problems when you are unable to pay,CA,2015-05-28 00:00:00,Web,Fast
1146,Student loan,Complaint: Can't repay my loan,TX,2016-06-07 00:00:00,Web,Instant
1147,Credit card,Complaint: Identity theft / Fraud / Embezzlement,VA,2015-12-03 00:00:00,Web,Instant
1148,Credit card,Complaint: Credit line increase/decrease,CA,2015-01-31 00:00:00,Web,Instant
1149,Debt collection,"Complaint: Loan modification,collection,foreclosure",TN,2014-07-20 00:00:00,Web,Instant
1150,Bank account or service,Complaint: Problems caused by my funds being low,IL,2016-02-16 00:00:00,Web,Instant
1151,Debt collection,Complaint: Improper contact or sharing of info,OH,2014-05-14 00:00:00,Web,Instant
1152,Credit card,Complaint: Delinquent account,CA,2015-09-26 00:00:00,Web,Instant
1153,Credit card,Complaint: APR or interest rate,CA,2013-09-18 00:00:00,Web,Instant
1154,Consumer Loan,Complaint: Problems when you are unable to pay,PA,2015-06-01 00:00:00,Web,Fast
1155,Consumer Loan,Complaint: Managing the loan or lease,NY,2014-03-24 00:00:00,Ema,Fast
1156,Mortgage,"Complaint: Loan servicing, payments, escrow account",MA,2014-02-07 00:00:00,Web,Instant
1157,Credit card,Complaint: Payoff process,WA,2015-10-16 00:00:00,Web,Instant
1158,Credit card,Complaint: Credit line increase/decrease,MA,2013-11-15 00:00:00,Web,Instant
1159,Consumer Loan,Complaint: Taking out the loan or lease,FL,2015-05-18 00:00:00,Web,Fast
1160,Credit card,Complaint: Billing disputes,VA,2013-02-28 00:00:00,Web,Instant
1161,Mortgage,"Complaint: Loan servicing, payments, escrow account",FL,2014-09-16 00:00:00,Web,Fast
1162,Payday loan,Complaint: Charged fees or interest I didn't expect,MD,2015-11-04 00:00:00,Web,Instant
1163,Prepaid card,Complaint: Unauthorized transactions/trans. issues,CA,2016-07-22 00:00:00,Web,Fast
1164,Mortgage,"Complaint: Application, originator, mortgage broker",TN,2015-09-29 00:00:00,Web,Instant
1165,Credit card,Complaint: APR or interest rate,NY,2014-11-25 00:00:00,Web,Instant
1166,Student loan,Complaint: Dealing with my lender or servicer,SC,2015-04-02 00:00:00,Web,Instant
1167,Debt collection,Complaint: Communication tactics,TX,2015-05-06 00:00:00,Web,Fast
1168,Debt collection,Complaint: False statements or representation,NC,2015-10-27 00:00:00,Web,Instant
1169,Mortgage,"Complaint: Application, originator, mortgage broker",MD,2013-02-04 00:00:00,Web,Instant
1170,Credit reporting,Complaint: Credit monitoring or identity protection,CA,2014-01-07 00:00:00,Web,Instant
1171,Mortgage,"Complaint: Loan servicing, payments, escrow account",CA,2015-03-25 00:00:00,Web,Instant
1172,Student loan,Complaint: Dealing with my lender or servicer,FL,2014-10-02 00:00:00,Ema,Fast
1173,Bank account or service,"Complaint: Account opening, closing, or management",WI,2016-01-14 00:00:00,Pho,Fast
1174,Credit card,Complaint: Identity theft / Fraud / Embezzlement,GA,2014-06-18 00:00:00,Web,Fast
1175,Credit card,Complaint: Unsolicited issuance of credit card,NY,2016-08-29 00:00:00,Web,Instant
1176,Debt collection,"Complaint: Loan modification,collection,foreclosure",OH,2016-02-18 00:00:00,Web,Instant
1177,Payday loan,Complaint: Charged fees or interest I didn't expect,IN,2016-11-07 00:00:00,Web,Instant
1178,Mortgage,"Complaint: Loan servicing, payments, escrow account",GA,2013-08-10 00:00:00,Web,Fast
1179,Mortgage,"Complaint: Loan servicing, payments, escrow account",NH,2013-06-08 00:00:00,Web,Fast
1180,Mortgage,"Complaint: Loan servicing, payments, escrow account",FL,2015-06-14 00:00:00,Web,Instant
1181,Student loan,Complaint: Can't repay my loan,WA,2015-10-14 00:00:00,Ema,Fast
1182,Student loan,Complaint: Dealing with my lender or servicer,VA,2014-05-15 00:00:00,Pho,Fast
1183,Payday loan,Complaint: Applied for loan/did not receive money,CA,2014-05-20 00:00:00,Web,Instant
1184,Mortgage,"Complaint: Loan servicing, payments, escrow account",FL,2013-04-01 00:00:00,Pos,Fast
1185,Mortgage,"Complaint: Loan servicing, payments, escrow account",PA,2015-02-07 00:00:00,Web,Instant
1186,Mortgage,Complaint: Credit decision / Underwriting,PA,2014-02-06 00:00:00,Web,Instant
1187,Debt collection,"Complaint: Loan modification,collection,foreclosure",NV,2014-06-05 00:00:00,Web,Fast
1188,Debt collection,Complaint: Improper contact or sharing of info,NY,2014-01-13 00:00:00,Web,Instant
1189,Mortgage,"Complaint: Loan servicing, payments, escrow account",VA,2016-01-06 00:00:00,Web,Instant
1190,Credit card,Complaint: Credit reporting,TX,2013-02-18 00:00:00,Web,Fast
1191,Debt collection,Complaint: Communication tactics,TX,2014-04-16 00:00:00,Web,Instant
1192,Mortgage,"Complaint: Loan servicing, payments, escrow account",UT,2014-08-23 00:00:00,Web,Instant
1193,Mortgage,"Complaint: Loan servicing, payments, escrow account",FL,2016-07-01 00:00:00,Web,Instant
1194,Mortgage,Complaint: Credit decision / Underwriting,IL,2013-10-24 00:00:00,Web,Fast
1195,Debt collection,Complaint: Communication tactics,FL,2015-02-26 00:00:00,Ema,Fast
1196,Consumer Loan,Complaint: Taking out the loan or lease,FL,2015-11-18 00:00:00,Web,Fast
1197,Consumer Loan,Complaint: Managing the loan or lease,NY,2016-03-24 00:00:00,Pho,Instant
1198,Payday loan,Complaint: Can't stop charges to bank account,MO,2016-03-31 00:00:00,Web,Fast
1199,Mortgage,"Complaint: Application, originator, mortgage broker",OH,2015-10-28 00:00:00,Web,Instant
1200,Debt collection,Complaint: Communication tactics,OH,2014-08-30 00:00:00,Web,Instant
1201,Mortgage,"Complaint: Application, originator, mortgage broker",KY,2013-01-07 00:00:00,Web,Fast
1202,Debt collection,"Complaint: Loan modification,collection,foreclosure",CA,2014-05-19 00:00:00,Web,Instant
1203,Mortgage,"Complaint: Loan servicing, payments, escrow account",FL,2016-07-19 00:00:00,Web,Instant
1204,Debt collection,Complaint: Improper contact or sharing of info,MI,2016-10-04 00:00:00,Web,Instant
1205,Credit reporting,Complaint: Unable to get credit report/credit score,WI,2015-06-02 00:00:00,Web,Instant
1206,Student loan,Complaint: Dealing with my lender or servicer,MO,2016-03-30 00:00:00,Pho,Instant
1207,Bank account or service,"Complaint: Account opening, closing, or management",CO,2015-05-06 00:00:00,Web,Instant
1208,Mortgage,"Complaint: Loan servicing, payments, escrow account",MI,2015-01-10 00:00:00,Web,Instant
1209,Credit reporting,Complaint: Credit reporting company's investigation,FL,2016-07-21 00:00:00,Web,Instant
1210,Credit reporting,Complaint: Improper use of my credit report,WV,2014-06-08 00:00:00,Web,Instant
1211,Debt collection,Complaint: False statements or representation,IN,2014-04-17 00:00:00,Web,Instant
1212,Debt collection,"Complaint: Loan modification,collection,foreclosure",AL,2016-07-06 00:00:00,Web,Instant
1213,Bank account or service,"Complaint: Account opening, closing, or management",PA,2013-04-19 00:00:00,Ema,Fast
1214,Bank account or service,"Complaint: Account opening, closing, or management",NV,2015-07-24 00:00:00,Web,Instant
1215,Mortgage,"Complaint: Loan servicing, payments, escrow account",CA,2015-06-07 00:00:00,Web,Instant
1216,Credit card,Complaint: Forbearance / Workout plans,RI,2014-11-11 00:00:00,Web,Instant
1217,Bank account or service,Complaint: Problems caused by my funds being low,RI,2014-06-06 00:00:00,Web,Instant
1218,Debt collection,"Complaint: Loan modification,collection,foreclosure",TX,2016-08-18 00:00:00,Ema,Fast
1219,Bank account or service,Complaint: Using a debit or ATM card,PA,2016-03-15 00:00:00,Web,Instant
1220,Credit card,Complaint: Credit line increase/decrease,NY,2016-06-21 00:00:00,Pho,Instant
1221,Consumer Loan,Complaint: Taking out the loan or lease,FL,2015-03-11 00:00:00,Pos,Fast
1222,Debt collection,"Complaint: Loan modification,collection,foreclosure",IN,2016-02-22 00:00:00,Web,Instant
1223,Consumer Loan,Complaint: Managing the loan or lease,IL,2014-10-12 00:00:00,Web,Instant
1224,Debt collection,"Complaint: Loan modification,collection,foreclosure",TX,2015-01-18 00:00:00,Web,Instant
1225,Mortgage,"Complaint: Loan servicing, payments, escrow account",KY,2016-08-29 00:00:00,Web,Instant
1226,Credit card,Complaint: Credit determination,CA,2014-07-18 00:00:00,Web,Fast
1227,Mortgage,"Complaint: Loan servicing, payments, escrow account",IN,2016-06-22 00:00:00,Web,Instant
1228,Bank account or service,Complaint: Deposits and withdrawals,CA,2015-03-26 00:00:00,Fax,Fast
1229,Debt collection,"Complaint: Loan modification,collection,foreclosure",CA,2015-04-11 00:00:00,Web,Instant
1230,Mortgage,"Complaint: Application, originator, mortgage broker",TX,2014-04-30 00:00:00,Web,Instant
1231,Debt collection,"Complaint: Loan modification,collection,foreclosure",LA,2015-12-05 00:00:00,Web,Instant
1232,Mortgage,Complaint: Credit decision / Underwriting,NE,2013-05-22 00:00:00,Web,Fast
1233,Credit card,Complaint: Billing disputes,IL,2015-05-27 00:00:00,Pho,Fast
1234,Credit card,Complaint: Billing disputes,NV,2016-06-24 00:00:00,Web,Instant
1235,Debt collection,Complaint: Taking/threatening an illegal action,TX,2014-11-03 00:00:00,Web,Instant
1236,Mortgage,"Complaint: Loan servicing, payments, escrow account",MA,2016-07-20 00:00:00,Web,Instant
1237,Student loan,Complaint: Can't repay my loan,TX,2015-06-28 00:00:00,Web,Instant
1238,Consumer Loan,Complaint: Managing the loan or lease,KY,2015-12-31 00:00:00,Web,Instant
1239,Credit reporting,Complaint: Improper use of my credit report,TX,2014-01-30 00:00:00,Web,Instant
1240,Bank account or service,Complaint: Deposits and withdrawals,TX,2015-04-22 00:00:00,Ema,Fast
1241,Bank account or service,"Complaint: Account opening, closing, or management",OH,2015-02-27 00:00:00,Ema,Fast
1242,Mortgage,"Complaint: Loan servicing, payments, escrow account",OR,2015-04-22 00:00:00,Web,Instant
1243,Mortgage,"Complaint: Loan servicing, payments, escrow account",IL,2015-06-18 00:00:00,Web,Instant
1244,Bank account or service,Complaint: Using a debit or ATM card,CA,2013-07-08 00:00:00,Web,Fast
1245,Debt collection,Complaint: Taking/threatening an illegal action,PA,2015-05-20 00:00:00,Web,Instant
1246,Credit card,Complaint: Collection practices,NY,2013-04-22 00:00:00,Ema,Fast
1247,Debt collection,"Complaint: Loan modification,collection,foreclosure",NC,2014-03-24 00:00:00,Web,Instant
1248,Mortgage,"Complaint: Loan servicing, payments, escrow account",FL,2013-12-20 00:00:00,Web,Instant
1249,Mortgage,"Complaint: Loan servicing, payments, escrow account",UT,2014-05-09 00:00:00,Web,Instant
1250,Credit reporting,Complaint: Credit monitoring or identity protection,FL,2016-06-01 00:00:00,Web,Instant
1251,Debt collection,Complaint: False statements or representation,GA,2014-07-20 00:00:00,Web,Instant
1252,Mortgage,"Complaint: Application, originator, mortgage broker",OR,2015-04-27 00:00:00,Web,Instant
1253,Credit reporting,Complaint: Improper use of my credit report,VA,2013-08-08 00:00:00,Web,Fast
1254,Prepaid card,Complaint: Unauthorized transactions/trans. issues,NC,2016-05-16 00:00:00,Web,Fast
1255,Mortgage,Complaint: Credit decision / Underwriting,PA,2013-10-04 00:00:00,Web,Fast
1256,Bank account or service,"Complaint: Account opening, closing, or management",CA,2013-10-28 00:00:00,Pho,Instant
1257,Payday loan,Complaint: Can't contact lender,KS,2015-08-20 00:00:00,Web,Instant
1258,Credit card,Complaint: Closing/Cancelling account,NY,2016-07-18 00:00:00,Web,Instant
1259,Credit card,Complaint: Late fee,NE,2014-02-17 00:00:00,Web,Fast
1260,Bank account or service,Complaint: Problems caused by my funds being low,PA,2016-08-29 00:00:00,Web,Instant
1261,Mortgage,"Complaint: Loan servicing, payments, escrow account",CA,2014-04-28 00:00:00,Ema,Fast
1262,Credit card,Complaint: Transaction issue,OK,2015-11-12 00:00:00,Web,Instant
1263,Credit card,Complaint: Credit determination,FL,2013-02-01 00:00:00,Ema,Fast
1264,Student loan,Complaint: Dealing with my lender or servicer,NY,2015-10-23 00:00:00,Web,Fast
1265,Mortgage,"Complaint: Loan servicing, payments, escrow account",CA,2013-03-04 00:00:00,Web,Instant
1266,Bank account or service,"Complaint: Account opening, closing, or management",CA,2015-09-24 00:00:00,Web,Fast
1267,Debt collection,"Complaint: Loan modification,collection,foreclosure",GA,2014-02-28 00:00:00,Ema,Fast
1268,Credit reporting,Complaint: Improper use of my credit report,TX,2013-04-20 00:00:00,Web,Fast
1269,Credit card,Complaint: Advertising and marketing,TX,2016-07-16 00:00:00,Web,Instant
1270,Credit card,Complaint: Identity theft / Fraud / Embezzlement,OH,2015-08-20 00:00:00,Ema,Fast
1271,Debt collection,Complaint: Improper contact or sharing of info,FL,2016-02-18 00:00:00,Web,Fast
1272,Mortgage,"Complaint: Loan servicing, payments, escrow account",IL,2015-06-30 00:00:00,Web,Instant
1273,Credit card,Complaint: Identity theft / Fraud / Embezzlement,WI,2016-03-05 00:00:00,Web,Instant
1274,Bank account or service,Complaint: Deposits and withdrawals,FL,2016-08-19 00:00:00,Ema,Fast
1275,Debt collection,"Complaint: Loan modification,collection,foreclosure",VA,2014-03-14 00:00:00,Web,Instant
1276,Debt collection,Complaint: False statements or representation,MI,2015-12-15 00:00:00,Web,Instant
1277,Bank account or service,Complaint: Deposits and withdrawals,NY,2015-08-13 00:00:00,Web,Instant
1278,Mortgage,"Complaint: Loan servicing, payments, escrow account",NV,2013-07-10 00:00:00,Pho,Instant
1279,Credit reporting,Complaint: Credit reporting company's investigation,MA,2016-06-22 00:00:00,Web,Instant
1280,Mortgage,"Complaint: Loan servicing, payments, escrow account",NC,2014-05-17 00:00:00,Web,Instant
